anonid;took_fall;took_year;tookanother;numeconclass;econmajor;Major;Major_STEM;Major_Business;Major_Finance;Major_Marketing;Major_SocSc;Major_Arts;Major_Comm;Major_Hum;female;greek;econ_hs;varsity;class_fe;class_fe2;yr_2016;treatment_class;treat2016;female_prof;instate;freshman;american;ACumGPA;gradePrinciples;small_class;grade3301;fem2016;femtreat16;female_treat;Testscore3301;top;surveyed;ecojobs_a;ecojobs_b;ecojobs_c;ecojobs_d;ecojobs_e;ecojobs_f;ecojobs_g;ecojobs_h;major_current_a;major_current_b;survey_econmajor
346;0;0;0;0;0;Applied Phys & Sport Mgmt - BS;1;0;0;0;0;0;0;0;1;1;0;1;9;9;0;0;0;1;0;1;1;3.559;3;1;;0;0;0;;0;1;;;;;;;;;Marketing;Sports Management;0
347;0;0;1;2;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;1;;;;5;5;0;0;0;0;0;1;1;2.864;2.6700001;0;2;0;0;0;.55;0;0;;;;;;;;;;;
348;0;0;0;0;0;Real Estate Finance - BBA;0;0;1;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;1;1;3.122;2.6700001;0;;0;0;0;;0;0;;;;;;;;;;;
349;0;0;0;0;0;Financial Consulting - BBA;0;0;1;0;0;0;0;0;0;;;;9;9;0;0;0;1;0;1;1;3.5;4;1;;0;0;0;;0;0;;;;;;;;;;;
350;0;0;0;0;0;PR and Strategic Comm - BA;0;0;0;0;0;0;1;0;1;1;0;0;6;6;0;0;0;1;0;1;1;3.39;2.3299999;0;;0;0;0;;0;1;Economist;Professor;Any government job;;;;;;Political science;Public relations;0
351;0;0;0;0;0;Management - BBA;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;1;1;4;4;0;;0;0;1;;1;1;Consulting;Business ownership;Corporate leadership;;;;;;Dance;Business;0
352;0;1;1;12;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;1;1;1;0;8;8;0;0;0;0;1;1;1;3.756;3;1;4;0;0;0;.65;1;1;Consulting;Politics;Sales;Professor;Advisor;;;;Real estate finance;Accounting;0
353;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;1;1;3.78;3.6700001;0;;0;0;0;;1;1;Government;Federal Reserve;;;;;;;Business;;0
354;0;0;0;0;0;Journalism - BA;0;0;0;0;0;0;0;1;0;0;1;0;;30;0;0;0;0;0;0;1;3.134;2.3299999;1;;0;0;0;;0;1;Market Analyst;Business Consultant;Teacher;Mathematician;;;;;Undecided;Advertising;0
355;1;1;1;4;0;Statistical Science - BS;1;0;0;0;0;0;0;0;0;0;1;0;2;2;1;1;1;1;0;0;0;2.685;1;0;4;0;0;0;.8;0;1;;;;;;;;;Statistic;;0
356;1;1;1;13;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;8;8;0;0;0;0;0;1;1;2.796;3;1;3;0;0;0;;0;0;;;;;;;;;;;
357;0;0;0;0;0;Human Rights - BA;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;1;0;0;1;1;1;3.345;2.3299999;0;;0;0;1;;0;1;Financial advisor;Economist;Entrepreneur;;;;;;International Studies;Human Rights;0
358;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;9;9;0;0;0;1;0;1;1;3.392;4;1;;0;0;0;;0;0;;;;;;;;;;;
359;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;1;1;3.517;3;0;;0;0;0;;0;0;;;;;;;;;;;
360;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.453;2.6700001;0;;0;0;1;;0;1;Business;Consulting;Financial advisor;;;;;;Business;;0
361;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.88;4;0;;0;0;1;;1;1;Econs professor;Consultant;Stock broker;;;;;;Entrepreneurship;Creative Advertising;0
362;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;0;0;6;6;0;0;0;1;0;1;1;3.755;3.6700001;0;;0;0;0;;1;1;Professor/ Teacher;Work for government;;;;;;;Finance;;0
363;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;0;0;6;6;1;0;0;1;0;1;1;3.383;2.3299999;0;;0;0;0;;0;1;;;;;;;;;Business management;Pre-med;0
364;0;0;0;0;0;Environmental Engr - BSEnvE;1;0;0;0;0;0;0;0;0;1;0;0;2;2;0;1;0;1;0;1;1;2.767;2.3299999;0;;0;0;0;;0;1;Economist;Finance;Teacher;;;;;;Environmental Engineering;;0
365;0;0;1;1;0;Management Science - BS;0;1;0;0;0;0;0;0;0;0;1;0;9;9;1;0;0;1;0;1;1;3.868;4;0;;0;0;0;;1;1;Government jobs;Finance;Education;Consulting;;;;;Finance;Economics;1
366;0;0;0;0;0;Psychology - PMJ;0;0;0;0;1;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.5;3.6700001;0;;0;0;1;;0;1;Unsure;;;;;;;;Business;Psychology;0
367;0;0;1;4;0;Public Policy - BA;0;0;0;0;1;0;0;0;0;0;1;0;;31;0;0;0;1;1;1;1;3.437;3;0;3.6700001;0;0;0;.65;0;1;Economist;Financial analyst;Professor;Busines owner;Banker;Corporate executive;Financial consultant;Treasurer;Business management;Political Science;0
368;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;0;8;8;1;0;0;0;1;1;1;3.342;2;1;;0;0;0;;0;1;Business;;;;;;;;Finance;;0
369;0;0;0;0;0;Advertising - BA;0;0;0;0;0;0;1;0;1;1;0;0;5;5;1;0;0;0;0;1;1;3.411;2.3299999;0;;1;0;0;;0;1;Sales;Teaching;Financial consulting;Business;;;;;Advertising;;0
370;0;1;1;3;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;0;4;4;0;1;0;1;0;1;1;3.83;4;1;4;0;0;0;.6;1;1;Economics teacher;Federal Reserve Banker;Dean of a business school ;Financial advisor;TV economics reporter;;;;Finance;Economics;1
371;0;0;0;0;0;Mathematics - BS;1;0;0;0;0;0;0;0;1;1;1;0;2;2;1;1;1;1;0;1;1;2.967;2.6700001;0;;1;1;1;;0;1;Teacher;Working with stocks or trades;Lawyer;Marketing;;;;;EMIS;;0
372;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;1;0;6;6;1;0;0;1;1;1;1;3.66;2.3299999;0;;1;0;0;;0;1;Teacher;Researcher;Philosopher;Advisor;;;;;Finance;Accounting;0
373;0;0;0;0;0;PR and Strategic Comm - BA;0;0;0;0;0;0;1;0;1;1;1;0;;32;1;0;0;1;1;1;1;3.544;3.6700001;1;;1;0;0;;0;1;Business;;;;;;;;Public Relations;;0
374;0;0;0;0;0;Journalism - BA;0;0;0;0;0;0;0;1;1;0;0;0;7;7;1;0;0;0;1;1;1;3.41;4;1;;1;0;0;;0;1;;;;;;;;;Business ;Journalism;0
375;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;3;3;1;1;1;0;0;1;1;3.933;4;0;;0;0;0;;1;1;Market strategist;Financial planner;;;;;;;Finance;Economics;1
376;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;9;9;1;0;0;1;0;1;1;3.84;4;0;;0;0;0;;1;1;Broker;Finance Manager;Banker;Professor;CEO;Analyst;;;Finance;Philosophy;0
377;0;1;1;1;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;0;0;2;2;0;1;0;1;0;1;1;3.334;3;0;3;0;0;0;.5;0;1;;;;;;;;;Finance;Marketing;0
378;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;0;0;6;6;0;0;0;1;0;1;1;3.555;3.6700001;0;;0;0;0;;0;1;Stock analyst;Econs professor;Economist;;;;;;Management;;0
379;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;3.807;3;0;;0;0;0;;1;1;;;;;;;;;Finance;Accounting;0
380;0;1;1;4;1;Economics - BA;0;0;0;0;0;0;0;0;0;1;1;0;6;6;1;0;0;1;1;1;1;2.955;2.6700001;0;4;0;0;0;.9;0;1;Economist;Stockbroker;;;;;;;EMIS;;0
381;0;0;0;0;0;Real Estate Finance - BBA;0;0;1;0;0;0;0;0;0;;;;3;3;0;1;0;0;0;1;1;3.088;3.6700001;0;;0;0;0;;0;0;;;;;;;;;;;
382;0;0;0;0;0;Management Science - BS;0;1;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;0;1;1;2.916;3;0;;0;0;0;;0;1;Stock trader;;;;;;;;EMIS;;0
383;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;1;1;0;3;3;1;1;1;0;1;1;1;3.396;3;0;;0;0;0;;0;1;;;;;;;;;Finance;;0
384;0;0;0;0;0;Real Estate Finance - BBA;0;0;1;0;0;0;0;0;1;0;1;0;6;6;0;0;0;1;1;1;1;3.516;3;0;;0;0;0;;0;1;Stockbroker;Banking;Economist;Something in politics;;;;;Business;;0
385;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;2;2;0;1;0;1;0;1;1;3.5;4;0;;0;0;0;;0;1;Unsure;;;;;;;;Business;;0
386;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;1;1;2;2;0;1;0;1;1;1;1;4;4;0;;0;0;1;;1;1;;;;;;;;;Business;;0
387;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;1;1;0;3;3;1;1;1;0;1;1;1;3.633;3.3299999;0;;1;1;1;;0;1;Economist;Financial Analyst;;;;;;;Business;;0
388;0;0;0;0;0;Management Science - BS;0;1;0;0;0;0;0;0;0;1;0;0;8;8;1;0;0;0;0;1;1;3.244;3.6700001;1;;0;0;0;;0;1;Economist;Econ teacher;Economic advisor/consultant;;;;;;EMIS;Business/Finance;0
389;0;0;0;0;0;Theatre - BFA;0;0;0;0;0;1;0;0;1;0;1;0;4;4;1;1;1;1;1;1;1;3.65;2.6700001;1;;1;1;1;;0;1;;;;;;;;;Theatre;Business;0
390;0;0;0;0;0;Undecided DCI;0;0;0;0;0;1;0;1;0;0;0;0;2;2;1;1;1;1;0;1;1;2.82;1.33;0;;0;0;0;;0;1;Economist;President of the Fed;;;;;;;Economics;Creative Writing;1
391;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;0;2;2;1;1;1;1;1;1;1;3.496;3;0;;0;0;0;;0;1;Banking analyst;Economist;Consulting;Law degree;;;;;Finance;;0
392;0;0;0;0;0;Management Science - BS;0;1;0;0;0;0;0;0;0;1;1;0;5;5;0;0;0;0;0;1;1;3.217;2.6700001;0;;0;0;0;;0;1;Consultant;Government employed;Professor;;;;;;EMIS;Business;0
393;0;0;0;0;0;Applied Phys & Sport Mgmt - BS;1;0;0;0;0;0;0;0;0;0;1;0;5;5;1;0;0;0;0;1;1;3.562;3;0;;0;0;0;;0;1;CFO;;;;;;;;;Business;0
394;0;0;0;0;0;Management - BBA;0;1;0;0;0;0;0;0;0;;;;9;9;0;0;0;1;0;1;1;3.489;3.3299999;1;;0;0;0;;0;0;;;;;;;;;;;
395;0;0;0;0;0;Spanish - BA;0;0;0;0;0;0;0;1;1;1;0;0;5;5;0;0;0;0;0;1;1;3.326;1.67;0;;0;0;0;;0;1;;;;;;;;;Political Science;Spanish;0
396;0;0;0;0;0;Biochemistry - BS;1;0;0;0;0;0;0;0;0;0;1;0;2;2;1;1;1;1;1;1;1;3.73;3.6700001;0;;0;0;0;;1;1;Banking;Business;Teacher;;;;;;Biochem;Accounting;0
397;0;1;1;6;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;2.566;2.6700001;0;3;0;0;0;0;0;1;CEO;Teacher;Stock Broker;;;;;;Finance;Economics;1
398;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;1;9;9;0;0;0;1;0;1;1;3.572;4;1;;0;0;0;;0;1;Government job;;;;;;;;Finance ;Biology;0
399;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;1;7;7;1;0;0;0;1;1;1;3.77;4;1;;0;0;0;;1;1;I think any job can be acquired through an econ major because you must think extremely logically, yet also take into account how people think;;;;;;;;Finance;Film;0
400;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;0;;;;3;3;0;1;0;0;0;1;1;3.429;2.3299999;0;;0;0;0;;0;0;;;;;;;;;;;
401;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;5;5;0;0;0;0;0;1;1;3.538;3;0;;0;0;0;;0;1;Wallstreet;Investment banker;Economics teacher;Financial advisor;;;;;Finance;Advertising;0
402;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;1;0;3;3;0;1;0;0;0;1;1;3.751;3;0;;0;0;1;;1;1;Business;Teacher;Government;Nonprofit;;;;;Marketing;Advertising;0
403;0;0;0;0;0;Mathematics - BS;1;0;0;0;0;0;0;0;1;0;0;0;3;3;0;1;0;0;0;1;1;3.37;3.3299999;0;;0;0;1;;0;1;Econ professor;Investment Banker;Insurance;;;;;;Management Science;Math;0
404;1;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.511;3.3299999;0;4;0;0;1;.55;0;1;Economist;Manager/Consultant;;;;;;;EMIS;Spanish;0
405;0;0;0;0;0;Management - BBA;0;1;0;0;0;0;0;0;1;1;1;0;6;6;1;0;0;1;1;1;1;2.962;1.67;0;;1;0;0;;0;1;Economist;;;;;;;;Business;Spanish;0
406;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;0;0;2;2;0;1;0;1;0;1;1;3.788;4;0;;0;0;1;;1;1;Professor;Economist;;;;;;;Marketing;Business;0
407;0;0;0;0;0;Music - BA;0;0;0;0;0;1;0;0;1;0;1;0;9;9;1;0;0;1;1;0;1;3.852;3;0;;1;0;0;;1;1;Management;Economics analyst;Entrepreneurship;Lawyer;;;;;Economics;Music;1
408;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;1;1;0;8;8;1;0;0;0;0;1;1;3.67;3.3299999;1;;1;0;0;;0;1;Attorney;;;;;;;;Accounting;Fashion Media;0
409;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;8;8;1;0;0;0;1;1;1;3.892;3.6700001;1;;0;0;0;;1;1;Finance;Consulting;;;;;;;Business;Public Policy;0
410;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;0;1;0;9;9;1;0;0;1;1;1;1;3.788;3.6700001;0;;1;0;0;;1;1;Consulting;;;;;;;;English;Marketing;0
411;0;0;0;0;0;Art - BA;0;0;0;0;0;1;0;0;0;1;0;0;9;9;1;0;0;1;0;1;1;3.45;3.3299999;0;;0;0;0;;0;1;Government;Business;;;;;;;Finance;Art;0
412;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;1;1;0;2;2;0;1;0;1;1;1;1;3.83;4;0;;0;0;1;;1;1;Stock trader;Economist;Professor;;;;;;Business;Spanish;0
413;0;0;0;0;0;Advertising - BA;0;0;0;0;0;0;1;0;1;1;1;0;5;5;1;0;0;0;1;1;1;3.037;2.3299999;0;;1;0;0;;0;1;Financial advisor;Accountant;;;;;;;Business;International Studies;0
414;0;0;1;1;0;Finance - BBA;0;0;1;0;0;0;0;0;1;;;;7;7;0;0;0;0;0;1;1;3.896;3.3299999;1;;0;0;0;;1;0;;;;;;;;;;;
415;1;1;1;1;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;1;0;2;2;0;1;0;1;1;1;1;3.966;4;0;3;0;0;1;.8;1;1;Economist;Econs professor;;;;;;;Marketing;Economics;1
416;0;0;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;5;5;1;0;0;0;0;1;1;2.685;3;0;;0;0;0;;0;0;;;;;;;;;;;
417;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;0;0;3;3;1;1;1;0;0;1;1;3.93;4;0;;1;1;1;;1;1;Analyst;Investor;Broker;Banker;;;;;EMIS;;0
418;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;8;8;1;0;0;0;0;1;1;3.732;4;1;;0;0;0;;1;1;Politics;Investment Banking;;;;;;;Finance;;0
419;0;0;0;0;0;Music - BA;0;0;0;0;0;1;0;0;1;1;1;0;;32;1;0;0;1;1;0;1;3.949;4;1;;1;0;0;;1;1;Economist;Professor;;;;;;;BA Psychology;BA Music;0
420;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;0;1;0;9;9;1;0;0;1;1;1;1;4;4;0;;0;0;0;;1;1;Government policy/advisor;Professor;Business consultant;;;;;;Business;Pre-med;0
421;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;0;0;2;2;0;1;0;1;0;1;1;3.815;4;0;;0;0;1;;1;1;;;;;;;;;Marketing;French;0
422;0;1;1;1;0;Real Estate Finance - BBA;0;0;1;0;0;0;0;0;0;1;0;0;6;6;0;0;0;1;0;1;1;3.466;2.3299999;0;4;0;0;0;.55;0;1;Political economist;Broker;Consultant;;;;;;Finance;;0
423;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;8;8;0;0;0;0;1;1;1;3.322;4;1;;0;0;0;;0;1;Work with fed;Consultant;Ecnomics analyst;;;;;;Finance;;0
424;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;1;1;0;8;8;0;0;0;0;0;1;1;3.593;3.3299999;1;;0;0;0;;0;1;Investor;Analyst;;;;;;;Finance;Sport Management;0
425;0;0;0;0;0;Journalism - BA;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;0;1;1;1;3.733;4;0;;0;0;0;;1;1;;;;;;;;;Political Science;Journalism;0
426;1;1;1;1;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;0;6;6;0;0;0;1;0;1;1;3.968;4;0;4;0;0;0;.45;1;1;Working with Fed;Consulting;;;;;;;Finance;Economics;1
427;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;0;1;1;3.937;4;0;;0;0;0;;1;1;Economist;Financial analyst;Analytics;Financial consulting;;;;;Finance;;0
428;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.87;4;0;;0;0;1;;1;1;Analyst;Professor;Finance;Economist;;;;;Marketing;French;0
429;1;1;1;4;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;1;1;0;8;8;1;0;0;0;0;1;1;3.475;3;1;4;0;0;0;.75;0;1;Business owner;Politician;;;;;;;Marketing;;0
430;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;0;0;9;9;1;0;0;1;0;1;1;3.76;3.6700001;0;;1;0;0;;1;1;Business;;;;;;;;Finance;Marketing;0
431;0;0;0;0;0;Chemistry - BS;1;0;0;0;0;0;0;0;0;;;;9;9;1;0;0;1;0;0;1;3.784;4;0;;0;0;0;;1;0;;;;;;;;;;;
432;0;0;1;1;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;2;2;0;1;0;1;0;1;1;3.578;4;0;3;0;0;0;.65;0;1;Economist;Financial Analyst;Consultant;;;;;;Finance;Computer Science;0
433;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;0;0;2;2;0;1;0;1;0;1;1;2.721;2.6700001;0;;0;0;0;;0;1;Broker;Consultant;Teacher;;;;;;Finance;;0
434;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;4;4;1;1;1;1;0;1;1;3.78;3;1;;0;0;0;;1;1;Consulting;Politics;Grad school;;;;;;Finance;;0
435;0;1;1;1;0;Management Science - BS;0;1;0;0;0;0;0;0;1;;;;;31;0;0;0;1;0;1;1;3.186;2.6700001;0;2;0;0;0;.7;0;0;;;;;;;;;;;
436;0;0;0;0;0;Mechanical Engineering - BSME;1;0;0;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;1;1;3.361;3.6700001;0;;0;0;0;;0;0;;;;;;;;;;;
437;0;0;0;0;0;International Studies - BA;0;0;0;0;1;0;0;0;1;0;1;0;6;6;0;0;0;1;1;1;1;3.4;2.6700001;0;;0;0;0;;0;1;Economist;Professor;Researcher;;;;;;Business Finance;;0
438;0;0;1;4;1;Economics - BA;0;0;0;0;0;0;0;0;0;1;1;0;3;3;0;1;0;0;0;1;1;2.962;3;0;;0;0;0;;0;1;Government economist;Economics teacher;;;;;;;Business Management;;0
439;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;0;1;0;9;9;1;0;0;1;1;1;1;3.71;3;0;;1;0;0;;1;1;Real estate;Broker;Teacher;;;;;;Human Rights;Marketing;0
440;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;6;6;1;0;0;1;0;1;1;3.25;2.6700001;0;;0;0;0;;0;0;;;;;;;;;;;
441;1;1;1;8;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;0;1;0;9;9;1;0;0;1;0;1;1;3.6;4;0;3.6700001;0;0;0;.75;0;1;Banking;Financial Analyst;;;;;;;Finance;Economics;1
442;0;0;0;0;0;Mechanical Engineering - BSME;1;0;0;0;0;0;0;0;1;1;1;0;9;9;1;0;0;1;1;1;1;3.943;4;0;;1;0;0;;1;1;CPA;Professor/teacher;Economic analyst;Investment;Stock Market;Retirement advisor;;;Mechanical Engineering;Business;0
443;0;0;0;0;0;Real Estate Finance - BBA;0;0;1;0;0;0;0;0;0;;;;8;8;1;0;0;0;0;1;1;3.14;3;1;;0;0;0;;0;0;;;;;;;;;;;
444;1;1;1;3;1;Economics - BA;0;0;0;0;0;0;0;0;0;0;1;0;6;6;1;0;0;1;1;1;1;3.845;3.3299999;0;3.6700001;0;0;0;.65;1;1;Analyst;Financial consultant;Researcher;;;;;;Finance;;0
445;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;1;4;4;1;1;1;1;1;0;1;3.67;3.3299999;1;;0;0;0;;0;1;Analyst;Advisor;Manager;Corporate executive;Teacher;;;;Finance;;0
446;0;0;0;0;0;Management Science - PMJ;0;1;0;0;0;0;0;0;1;;;;8;8;1;0;0;0;0;1;1;4;4;1;;1;0;0;;1;0;;;;;;;;;;;
447;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;0;6;6;0;0;0;1;1;1;1;3.173;2.6700001;0;;0;0;0;;0;1;Wallstreet;Professor;Researcher;COO;;;;;Real Estate Finance;;0
448;1;1;1;8;1;Economics - BS;0;0;0;0;0;0;0;0;1;1;1;0;2;2;0;1;0;1;1;1;1;3.088;3.3299999;0;3.3299999;0;0;1;.75;0;1;Analyst;Grad school;Teacher;Tutor;;;;;EMIS;Economics;1
449;0;0;0;0;0;Biological Sciences - BS;1;0;0;0;0;0;0;0;1;1;1;0;;32;1;0;0;1;0;1;1;3.937;4;1;;1;0;0;;1;1;Business;Finance;Consulting;;;;;;Journalism;French;0
450;1;1;1;7;1;Economics - BA;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;0;1;1;3.575;3.3299999;0;4;0;0;0;.75;0;1;More or less anything non-specialized (not a doctor, engineer or lawyer);;;;;;;;Finance;Economics;1
451;0;0;0;0;0;Management - BBA;0;1;0;0;0;0;0;0;1;1;0;0;6;6;0;0;0;1;1;1;1;3.73;3;0;;0;0;0;;1;1;Stock market;Economic analysis;Professor;;;;;;Business Management;;0
452;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;5;5;1;0;0;0;0;1;1;3.082;2.6700001;0;;0;0;0;;0;0;;;;;;;;;;;
453;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;0;;;;9;9;0;0;0;1;0;1;1;3.019;3;1;;0;0;0;;0;0;;;;;;;;;;;
454;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;1;1;0;6;6;1;0;0;1;0;1;1;3.85;3.6700001;0;;1;0;0;;1;1;Fed;Government;Teaching;Research;;;;;Business;;0
455;0;0;1;9;1;Economics - BS;0;0;0;0;0;0;0;0;1;1;1;0;8;8;1;0;0;0;0;1;1;3.275;3.3299999;1;;1;0;0;;0;1;;;;;;;;;;;0
456;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;1;1;3.465;3.3299999;0;;0;0;0;;0;1;Investment banker;Lawyer;Economist;;;;;;Accounting;;0
457;0;1;1;1;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;1;0;0;6;6;1;0;0;1;0;1;1;3.67;3;0;3.3299999;1;0;0;.9;0;1;;;;;;;;;Accounting;English;0
458;0;0;0;0;0;Psychology - BA;0;0;0;0;1;0;0;0;1;1;1;0;9;9;1;0;0;1;0;0;1;3.638;4;0;;1;0;0;;0;1;Marketing;Advertising;Teacher;;;;;;Real estate finance;Psychology;0
459;1;1;1;4;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;2;2;0;1;0;1;0;1;1;3.289;2.6700001;0;4;0;0;0;.7;0;1;What you do with your major is more relevant than the major itself;;;;;;;;Finance;Entrepreneurship;0
460;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;1;;;;9;9;0;0;0;1;0;1;1;3.235;2.6700001;1;;0;0;0;;0;0;;;;;;;;;;;
461;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;;31;0;0;0;1;0;1;1;3.51;3;0;;0;0;0;;0;0;;;;;;;;;;;
462;1;1;1;5;1;Economics - BA;0;0;0;0;0;0;0;0;0;;;;2;2;1;1;1;1;0;1;1;3.824;3.3299999;0;4;0;0;0;.9;1;0;;;;;;;;;;;
463;0;0;0;0;0;Undecided DCI;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;1;1;0;1;1;1;2.272;3;0;;0;0;0;;0;1;Financial advisor;Financial Consultant;Loan Manager;Marketing;Teacher;;;;;;0
464;0;0;0;0;0;Art History - BA;0;0;0;0;0;1;0;1;1;0;1;0;5;5;1;0;0;0;1;1;1;3.74;3.3299999;0;;1;0;0;;1;1;Policy advisor;;;;;;;;Art History minus business admin plus arts management;;0
465;0;0;0;0;0;Educational Studies - BS;0;0;0;0;0;0;0;0;0;1;1;0;5;5;1;0;0;0;1;1;1;3.637;3;0;;0;0;0;;0;1;Economic advisor;Economic analyst;Business consultant;Non profit/for profit management;;;;;Education studies;Psychology;0
466;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;1;0;6;6;0;0;0;1;0;1;1;3.511;2.3299999;0;;0;0;0;;0;1;Investment banker;Wealth Coach;;;;;;;Business;Fashion Media;0
467;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;8;8;1;0;0;0;0;1;1;3.688;3.6700001;1;;0;0;0;;0;0;;;;;;;;;;;
468;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;1;0;0;3;3;0;1;0;0;0;1;1;3.648;3.3299999;0;;0;0;1;;0;1;Economist;;;;;;;;Business;Marketing;0
