anonid;took_fall;took_year;tookanother;numeconclass;econmajor;Major;Major_STEM;Major_Business;Major_Finance;Major_Marketing;Major_SocSc;Major_Arts;Major_Comm;Major_Hum;female;greek;econ_hs;varsity;class_fe;class_fe2;yr_2016;treatment_class;treat2016;female_prof;instate;freshman;american;ACumGPA;gradePrinciples;small_class;grade3301;fem2016;femtreat16;female_treat;Testscore3301;top;surveyed;ecojobs_a;ecojobs_b;ecojobs_c;ecojobs_d;ecojobs_e;ecojobs_f;ecojobs_g;ecojobs_h;major_current_a;major_current_b;survey_econmajor
26;0;1;1;6;1;Economics - BA;0;0;0;0;0;0;0;0;0;;;;3;3;0;1;0;0;0;1;1;1.733;2;0;2;0;0;0;.65;0;0;;;;;;;;;;;
27;0;1;1;8;1;Economics - BA;0;0;0;0;0;0;0;0;1;;;;;30;0;0;0;0;0;1;1;2.875;3;1;4;0;0;0;.65;0;0;;;;;;;;;;;
28;0;0;0;0;0;Mathematics - BS;1;0;0;0;0;0;0;0;0;1;0;0;5;5;0;0;0;0;0;0;1;2.827;2.6700001;0;;0;0;0;;0;1;Stocks Market;Managerial position;Teacher;Real Estate broker;;;;;EMIS;Pre-med;0
29;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;1;0;1;0;4;4;1;1;1;1;1;1;1;3.484;3;1;;1;1;1;;0;1;CEO/CFO;Bank;Wall Street;Advisor;Consultant;Sales;Entrepreneur;;International Business;Economics;1
30;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;0;0;1;0;2;2;1;1;1;1;1;1;1;3.582;3;0;;0;0;0;;0;1;;Government;Corporate advising;Academia;;;;;Economics;;1
31;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;9;9;1;0;0;1;0;0;1;3.679;4;0;;0;0;0;;0;0;;;;;;;;;;;
32;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;1;1;0;6;6;1;0;0;1;0;1;1;3.35;2.3299999;0;;1;0;0;;0;1;Government;Teaching;Research;International relations and foreign relations;;;;;Marketing;Advertising;0
33;0;0;0;0;0;Mechanical Engineering - BSME;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;3.727;4;0;;0;0;0;;1;1;Market Analyst;Consultant;Teacher;;;;;;Engineering ;;0
34;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;1;1;1;0;4;4;0;1;0;1;0;0;1;3.932;4;1;;0;0;1;;1;1;Business;Finance;Accounting;Marketing;Advertising;Political Advisor;;;Biology;Health & society;0
35;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;1;;;;5;5;0;0;0;0;0;0;1;2.994;1.67;0;;0;0;0;;0;0;;;;;;;;;;;
36;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;;;;4;4;0;1;0;1;0;0;1;3.268;3;1;;0;0;1;;0;0;;;;;;;;;;;
37;1;1;1;6;0;Public Policy - BA;0;0;0;0;1;0;0;0;1;0;1;0;;30;0;0;0;0;1;0;1;3.559;4;1;3.6700001;0;0;0;;0;1;Sales analyst;Lawyer;;;;;;;Political Science;Public Policy;0
38;0;0;0;0;0;Management Science - BS;0;1;0;0;0;0;0;0;1;1;1;0;5;5;0;0;0;0;1;0;1;3.592;3;0;;0;0;0;;0;1;Financial analyst;Government staff member;Professor;;;;;;Finance;Math;0
39;0;1;1;8;1;Economics - BA;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;3.55;3.6700001;0;4;0;0;0;.75;0;1;Job at hedge fund;Job in investment banking;Accounting job;Finance job;;;;;Biology;;0
40;0;0;0;0;0;Political Science - BA;0;0;0;0;1;0;0;0;0;1;1;0;;30;0;0;0;0;1;0;1;3.162;2.3299999;1;;0;0;0;;0;1;Lawyer;;;;;;;;Political Science;;0
41;0;0;0;0;0;Music - BA;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;2.329;0;0;;0;0;0;;0;1;Business economist;Stock market broker;Corporate economic analyst;;;;;;Music;BBA;0
42;0;0;0;0;0;Journalism - BA;0;0;0;0;0;0;0;1;1;1;1;0;4;4;0;1;0;1;0;0;1;3.443;2;1;;0;0;1;;0;1;Teacher;Analyst;Consultant;Banker;Stock Broker;;;;English with creative writing specialisation;Journalism;0
43;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;1;1;0;4;4;0;1;0;1;1;0;1;3.363;3;1;;0;0;1;;0;1;Economist;Economic professor;Work for Bank;;;;;;Business;;0
44;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.378;2;0;;0;0;1;;0;1;Teacher;Accountant;Banker;;;;;;Accounting;Finance;0
45;0;0;0;0;0;Mathematics - BS;1;0;0;0;0;0;0;0;0;1;0;0;4;4;0;1;0;1;0;0;1;2.3;1.33;1;;0;0;0;;0;1;Engineering firm;Accounting;Law;;;;;;EMIS;;0
46;0;0;0;0;0;Spanish - BA;0;0;0;0;0;0;0;1;1;0;0;1;4;4;0;1;0;1;0;0;1;3.161;2;1;;0;0;1;;0;1;Unsure;;;;;;;;Applied Physiology;;0
47;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;2.35;1;0;;0;0;0;;0;1;;;;;;;;;Theater;Business;0
48;0;0;0;0;0;English - PMJ;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;1;0;1;0;0;1;2.929;2;0;;0;0;0;;0;1;Finance;CFO;;;;;;;Environmental Engineering;Business;0
49;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;1;0;0;;30;0;0;0;0;0;0;1;3.458;4;1;;0;0;0;;0;1;Investment banking analyst;Accountant;Teacher/ Professor;Entrepreneur;Med/Law school;;;;Biology;Latin;0
50;0;0;0;0;0;Biological Sciences - BS;1;0;0;0;0;0;0;0;1;0;0;0;;30;0;0;0;0;1;0;1;3.458;4;1;;0;0;0;;0;1;Economist;;;;;;;;Biology;;0
51;0;0;1;12;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;1;1;0;3;3;0;1;0;0;1;1;1;2.936;3;0;2.3299999;0;0;0;.7;0;1;CEO;Lawyer;Accountant;;;;;;Business;Political Science;0
52;0;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;2.973;2;0;2;0;0;0;.5;0;1;Consultant;Manager;Assistant;;;;;;Markets & Cultures;Economics;1
53;0;0;1;2;0;Statistical Science - BS;1;0;0;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;0;1;2.109;2.6700001;0;;0;0;0;;0;0;;;;;;;;;;;
54;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;0;3;3;0;1;0;0;1;0;1;3.59;4;0;;0;0;0;;0;1;Analyst;Banker;Investment Advisor;Teacher;;;;;Health & Society;Finance;0
55;0;1;1;4;0;Biological Sciences - BS;1;0;0;0;0;0;0;0;1;1;0;0;4;4;0;1;0;1;0;0;1;3.491;3.6700001;1;4;0;0;1;.8;0;1;Banking;Teaching;Lawyer;;;;;;Biology;;0
56;1;1;1;2;0;Mathematics - BS;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;1;2.418;2;0;2;0;0;0;.75;0;1;Consultant;Actuary;Underwriter;Professor;Quantitative Analysis;Accountant;Auditor;Financial Analysis;Applied Math;;0
57;0;0;0;0;0;English - BA;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;0;0;1;0;1;3.854;3.3299999;0;;0;0;1;;1;1;Lawyer;Government Official;Business Owner;Business worker;Economist (reseacher);Accountant;;;English;Communication Studies;0
58;0;0;0;0;0;Management Science - BS;0;1;0;0;0;0;0;0;1;1;1;0;5;5;0;0;0;0;1;0;1;3.375;2.6700001;0;;0;0;0;;0;1;Politician;Professor;;;;;;;Computer science;EMIS;0
59;0;1;1;9;1;Economics - BA;0;0;0;0;0;0;0;0;0;1;0;1;4;4;1;1;1;1;0;1;1;2.337;1;1;2;0;0;0;0;0;1;;;;;;;;;;;0
60;0;0;0;0;0;French Studies - BA;0;0;0;0;0;0;0;1;1;;;;2;2;0;1;0;1;0;0;1;3.912;3.6700001;0;;0;0;1;;1;0;;;;;;;;;;;
61;0;0;1;3;1;Economics - BA;0;0;0;0;0;0;0;0;0;;;;3;3;0;1;0;0;0;1;1;2.21;2;0;2;0;0;0;;0;0;;;;;;;;;;;
62;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;;;;9;9;1;0;0;1;0;0;1;3.403;3.3299999;0;;1;0;0;;0;0;;;;;;;;;;;
63;1;1;1;1;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;1;0;5;5;0;0;0;0;1;1;1;3.824;3.3299999;0;3;0;0;0;.65;1;1;Economic advisor;Professor;Bank ;Stock broker;Financial advisor;Politician;;;Finance;French;0
64;1;1;1;8;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;1;1;0;6;6;0;0;0;1;1;1;1;3.87;4;0;4;0;0;0;.65;1;1;Investment banking;Fed Jobs;;;;;;;Finance with specialisation in Alts;Economics with FA;1
65;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;1;;;;5;5;0;0;0;0;0;0;1;2.205;0;0;;0;0;0;;0;0;;;;;;;;;;;
66;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;0;1;1;0;;30;0;0;0;0;1;0;1;2.387;2;1;;0;0;0;;0;1;Finance;Technology;Banking;Business;Real Estate;;;;Markets and Culture;;0
67;0;0;0;0;0;Public Policy - BA;0;0;0;0;1;0;0;0;1;1;1;0;6;6;0;0;0;1;0;1;1;3.451;3;0;;0;0;0;;0;1;Economist;;;;;;;;Business management;;0
68;0;0;1;9;1;Economics - BA;0;0;0;0;0;0;0;0;0;;;;1;1;0;1;0;0;0;1;0;2.9;1.67;0;2;0;0;0;.5;0;0;;;;;;;;;;;
69;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;0;;;;8;8;0;0;0;0;0;0;1;2.305;3.3299999;1;;0;0;0;;0;0;;;;;;;;;;;
70;0;0;0;0;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;0;;;;5;5;1;0;0;0;0;1;1;3.38;2.3299999;0;;0;0;0;;0;0;;;;;;;;;;;
71;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;6;6;0;0;0;1;0;1;1;3.207;3;0;;0;0;0;;0;1;Unsure;;;;;;;;Business consulting;;0
72;1;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;0;1;0;9;9;1;0;0;1;0;0;1;3.16;4;0;3;0;0;0;.75;0;1;Analyst;Economist;Consultant;;;;;;Economics;Finance;1
73;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;0;0;1;0;3;3;0;1;0;0;0;1;1;2.642;3.3299999;0;;0;0;0;;0;1;Teacher;Administrator;Banker;Stockbroker;Salesman;Executive;;;Markets and Culture;Political Science;0
74;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;1;1;3.793;4;0;;0;0;1;;1;1;Commercial real estate;Private equity;Banking;Hedge Fund Manager;Risk Analyst;Money Management;;;Business;;0
75;0;0;0;0;0;Art History - BA;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;1;0;0;0;0;1;3.13;3;0;;0;0;1;;0;1;Analyst;Economist;Economics teacher/ professor;;;;;;Business Admin;Marketing;0
76;0;0;0;0;0;Fashion Media - BA;0;0;0;0;0;1;0;0;1;1;1;0;9;9;0;0;0;1;0;0;1;3.216;3;1;;0;0;0;;0;1;Something in business;Something in D.C;;;;;;;Marketing;Fashion Media;0
77;1;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;1;0;1;0;3;3;0;1;0;0;0;0;1;2.796;3;0;2;0;0;1;.45;0;1;Unsure;;;;;;;;Finance;;0
78;0;0;0;0;0;Music - BA;0;0;0;0;0;1;0;0;0;;;;4;4;1;1;1;1;0;0;1;3.202;2.6700001;1;;0;0;0;;0;0;;;;;;;;;;;
79;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;1;;;;4;4;0;1;0;1;0;1;1;1.2;2.6700001;1;;0;0;1;;0;0;;;;;;;;;;;
80;0;0;0;0;0;Creative Computing - PMJ;0;0;0;0;0;0;0;0;1;;;;5;5;1;0;0;0;0;0;0;1.644;0;0;;1;0;0;;0;0;;;;;;;;;;;
81;0;1;1;3;0;Public Policy - BA;0;0;0;0;1;0;0;0;1;1;0;0;3;3;0;1;0;0;0;1;1;3.86;3.3299999;0;4;0;0;1;.7;1;1;Economist;Consultant;;;;;;;Marketing;Accounting;0
82;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;1;0;1;0;2;2;0;1;0;1;1;0;1;2.333;2;0;;0;0;1;;0;1;;;;;;;;;Markets & Culture;;0
83;1;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.21;2;0;2.3299999;0;0;1;.5;0;1;Office job;;;;;;;;Economics;;1
84;0;0;1;7;1;Economics - BA;0;0;0;0;0;0;0;0;1;1;1;0;;30;0;0;0;0;0;0;1;3.051;4;1;;0;0;0;;0;1;Unsure, something with business;;;;;;;;Markets and Culture;Economics;1
85;1;1;1;2;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;3;3;0;1;0;0;0;0;0;2.214;2.3299999;0;1.33;0;0;0;;0;0;;;;;;;;;;;
86;1;1;1;5;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;1;1;0;0;8;8;0;0;0;0;0;0;1;3.026;2;1;2;0;0;0;.35;0;1;;;;;;;;;Markets & Culture;;0
87;0;0;1;2;1;Economics - PMJ;0;0;0;0;0;0;0;0;1;;;;2;2;0;1;0;1;0;0;1;1.361;0;0;;0;0;1;;0;0;;;;;;;;;;;
88;0;0;0;0;0;Mathematics - BS;1;0;0;0;0;0;0;0;0;;;;1;1;0;1;0;0;0;0;1;3.394;3.3299999;0;;0;0;0;;0;0;;;;;;;;;;;
89;0;1;1;8;1;Economics - BA;0;0;0;0;0;0;0;0;0;0;1;0;3;3;0;1;0;0;0;0;1;3.401;3;0;2;0;0;0;.65;0;1;Managerial position;Financial postion;Analyst;;;;;;Business;International Studies;0
90;0;0;0;0;0;Management Science - BS;0;1;0;0;0;0;0;0;0;1;1;0;9;9;1;0;0;1;0;0;1;3.05;3.3299999;0;;0;0;0;;0;1;Economics;Consultant;;;;;;;EMIS;Math;0
91;0;0;0;0;0;Applied Phys & Sport Mgmt - BS;1;0;0;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;0;1;2.681;1.67;0;;0;0;0;;0;0;;;;;;;;;;;
