treatment,el1,index_ctotal_el1,index_foodsecurity_el1,ind_fin_el1,ind_increv_updated_el1,asset_ind_tot_el1,vil_ham
1,1,1.6873811,.4986659,.95246464,.17966269,,114
0,1,-.25451651,-.21378429,.093294442,.5689224,-1.150218,38
0,1,-.018423405,-.34865487,-.28256834,-1.2314041,-1.5455612,66
1,1,.082118519,-.21378429,-.012827053,.22832008,2.4164164,6
0,1,.43625769,.37808228,-.28256834,-.11228214,,7
1,1,.68323678,1.8486543,-.073101401,-.25825465,.72546834,
0,1,-.32414353,1.8486543,-.24269392,-1.2314041,1.4014138,6
1,1,1.1958758,-.1813138,-.073101401,.22832008,.12777227,88
0,1,-.30688372,-.34865487,-.2656115,-.84603691,-1.3478895,116
1,1,,,,,,25
0,1,.029825214,.4986659,-.16486786,-.6475144,,88
0,1,-.75159192,.051149033,-.23269525,-.93945926,-.39564538,116
1,1,.27033123,.37808228,.36575168,-.30691212,,103
1,1,.28562933,.36094171,-.023306422,-.3555696,,88
1,1,.14774866,.4986659,-.041195843,-.50154203,,92
0,1,-.087295108,.4986659,.23611176,-.27966392,.58557522,72
0,1,2.5012286,-.34865487,.45548117,.71489483,.085106857,35
1,1,-.12995334,-.34865487,-.1664001,.45701018,-.95254648,109
1,1,-.40416521,-.34865487,.035609912,-.78862107,-1.3273891,117
0,1,-.51399839,.051149033,-.1314529,.13100523,,23
0,1,.31593135,.4986659,.86451256,.76355231,-.90056598,92
0,1,3.8992534,-.1813138,1.4480096,.47160745,2.8969376,114
1,1,-.23487893,.051149033,.14634016,-1.1146262,-.029104292,37
1,1,-.41897297,-.34865487,.046575975,.52026492,-.48396328,97
1,1,1.4341748,-.1813138,-.19778711,-1.1340891,-1.4515349,5
0,1,.11068034,.4986659,.18623868,.97764528,-.55720335,72
0,1,-.44886315,.4986659,-.12299249,1.8826741,1.1387596,109
0,1,-.11800938,.37808228,-.25264451,1.9313318,1.5624559,92
0,1,2.5819848,.098861992,.37575635,.47160745,-.11429387,100
1,1,.36223835,1.8486543,.24606232,2.8558235,-.11157274,72
0,1,-.35807422,.051149033,-.17284755,.38402405,-.60886818,23
1,1,1.6408978,.4986659,-.21755788,.043421753,-.4258981,104
1,1,-.091825783,.4986659,.019662539,.32563502,-1.3478895,118
0,1,,,,,,72
0,1,,,,,,117
1,1,-.45545319,1.8486543,-1.1296777,-.3555696,,117
1,1,2.9222229,2.0655677,.43560404,-.29718056,-1.7432327,53
0,1,1.6748282,-.1813138,-.21274602,-.25825465,-1.7432327,72
1,1,1.1570414,.4986659,-.023264363,.36456111,-.38216874,81
1,1,.75634468,1.8486543,-.1728716,.14754871,.69878113,80
1,1,,,,,,97
1,1,.12617514,.37808228,.0066955527,-.6475144,-1.4935807,53
0,1,.40477931,1.8486543,-.21274602,-1.2314041,.84004867,5
0,1,.54900962,-.34865487,1.1537645,.07261619,.99133939,42
0,1,1.5737716,-.1813138,-.27259374,-1.2314041,-1.9409043,39
0,1,1.7889773,.4986659,-.28256834,-1.2314041,-1.0546074,54
1,1,-.056816049,.4986659,-.21677193,.34509817,-.98704231,7
1,0,,,,,,7
0,1,-.18979295,1.8486543,-.13303922,.082347751,-.14019535,18
0,1,.36300266,.4986659,-.23269525,-.29718056,-1.5455612,53
1,1,1.2749556,1.8486543,-.22773199,.41321859,,65
1,1,,,,,,117
0,1,1.2704539,.098861992,.27601022,.41516489,1.3919107,54
0,1,1.7603421,-.34865487,-.18282217,-.95892227,-.57689655,65
0,1,1.1952871,2.0655677,-.27907723,-.88107032,-1.7432327,54
1,1,,,,,,8
1,1,,,,,,31
1,0,,,,,,54
1,1,.32658148,.4986659,.59518588,-.74482936,,54
0,1,1.002097,.4986659,-.11798717,-.3555696,-1.150218,81
0,1,.54758263,.4986659,.24802117,.17187744,1.0170871,4
0,1,-.68463278,.4986659,-.21274602,.96791375,-1.150218,79
1,1,.066217139,.098861992,-.055963069,.37429249,.98975503,103
0,1,.036591195,1.8486543,-.04317753,.096944921,,5
0,1,.40330812,.37808228,.1932209,-.95892227,-1.6392719,53
1,1,7.6393809,2.0655677,.28587064,-.21057025,-.10704462,42
0,1,-.19398527,1.8486543,-.0032790648,1.5420721,2.9673615,54
1,1,.98280334,.4986659,.016628107,.47160745,.54139292,10
1,1,2.4968138,.37808228,-.088096358,-.50154203,-.62713486,20
0,1,1.2417699,.4986659,-.23768257,.47160745,.55961537,39
1,1,.75678587,.4986659,.0016902186,.22832008,,117
1,1,-.073761739,.4986659,.35580713,-.063624665,1.1053309,53
1,1,-.27373761,-.37463129,-.083118066,1.0603629,,65
0,1,1.1446849,.37808228,-.23269525,-.93945926,-1.5455612,54
0,1,-.049461409,-.34865487,.17626405,.27697757,.50826609,56
1,1,.34630758,.051149033,-.1808573,-.74482936,,54
1,0,,,,,,54
0,1,.9543398,.4986659,-.0032970896,.81220973,2.89834,55
1,0,,,,,,42
1,1,-.19779567,.4986659,-.22770795,2.4081752,3.2639046,42
1,1,.17095107,.098861992,-.073101401,.52026492,.84816247,15
0,1,-.47744414,-.82214814,-.068114087,-.25825465,-.85693586,15
0,1,.08004421,1.8486543,.14122666,.36456111,-.95254648,26
0,1,.10050582,.098861992,-.089060776,-.16093969,.4944782,33
1,1,,,,,,11
0,1,-.53253281,.4986659,.63509643,-1.0124454,-1.150218,74
1,1,-.16484532,.098861992,-.074122883,-.10255066,.39397383,63
0,1,.76124859,.4986659,-.20277141,-.55019945,-.53553849,64
0,1,-.75269032,-.82214814,-.24765718,-1.0854317,-1.5455612,79
1,1,.20042953,1.2650781,.23608771,.13100523,.80489236,80
0,1,-.30732459,-.34865487,-.23269525,.053153228,-1.0772935,89
1,1,1.3212032,.4986659,.056550588,.41516489,,52
0,1,1.3965179,-.1813138,-.28256834,-.93945926,-1.7432327,5
0,1,.41051605,.4986659,.046593994,-.64556813,.93356091,26
0,1,-.53554821,.4986659,-.12297449,2.3692489,.94377303,24
1,1,-.59960973,.4986659,-.23070633,-.9579491,.51930815,6
1,1,-.49116889,.098861992,.041606709,-.25825465,-.95254648,101
0,1,1.1825387,.37808228,.046563972,-.3555696,1.7862325,49
1,1,.94541585,.4986659,-.083118066,-1.2314041,,11
0,1,.28374636,.4986659,-.16288495,-.74288309,-1.3478895,81
0,1,.8730433,.098861992,.29595944,-.33610654,1.031037,83
0,1,-.70922756,.4986659,-.27159625,.00936154,-1.5455612,119
1,1,-.89155138,.051149033,-.28256834,-.063624665,-1.5455612,64
1,1,5.4870338,2.0655677,-.20281948,1.5712664,-1.252279,58
1,1,,,,,,5
0,1,.42037204,.4986659,-.0082843984,.043421753,,26
0,1,1.8327146,-.82214814,-.033202916,1.0068399,-1.3478895,117
0,1,-.020158885,-.34865487,-.16287293,2.7585087,-.32238644,103
1,1,.048726812,.4986659,-.25264451,1.9799891,-.18099037,77
1,1,.52581209,.4986659,-.028254684,3.887362,-.95254648,11
1,1,1.0499533,.4986659,1.2933971,.88811541,,81
0,1,-.44053754,.4986659,3.2085474,.50566769,2.1817594,82
0,1,-.66768712,.4986659,-.1040227,.55919099,-1.150218,83
1,1,,,,,,74
0,1,.63454711,.37808228,.081505172,-.93945926,-1.7432327,101
1,1,.41316378,1.8486543,-.22743276,.84140426,.25757766,77
1,0,,,,,,15
1,1,.87002283,-.34865487,.5353502,-.22419435,.70998788,15
0,1,1.5509714,.051149033,.46552792,-.014967197,,78
1,1,,,,,,106
1,1,.50804234,.098861992,.12639093,-.98811674,-1.150218,35
0,1,.5833571,.098861992,-.26521251,-1.2314041,.8228479,6
0,1,1.4000485,.4986659,-.0033151312,.13100523,1.6922063,11
0,1,1.2453003,1.8486543,-.22272064,3.201292,.23451464,81
1,1,-.24635261,.4986659,.82857996,.85600156,3.3881776,88
1,1,.14323826,1.8486543,-.15092744,.58838552,,83
0,1,,,,,,87
1,1,-1.1204858,.4986659,-.26212037,-.84214431,1.3356007,76
0,1,,,,,,68
0,1,.35270628,.4986659,.87448722,.32563502,.23451464,63
1,1,-.47062534,.4986659,.066525206,1.3960996,,92
1,1,1.6065741,.37808228,-.067134649,-1.0854317,,38
1,1,-.44633335,.4986659,-.056144536,-.50154203,-.60728383,51
1,1,.167068,.37808228,-.045172468,-1.2314041,-1.2002985,31
1,1,-.037791498,.4986659,.41064954,.9435851,.24276103,86
0,1,-.20156112,.37808228,.13636555,-.93945926,-1.7432327,14
1,1,1.0531901,.4986659,.017667634,-.3555696,,24
0,1,-.43433011,.051149033,.1662894,-.25825465,-1.0462571,118
1,1,.87167007,.098861992,-.14294775,.5689224,.058412999,3
1,1,-.49905297,.4986659,.20118555,.47550008,,81
0,1,4.5061812,.37808228,-.21274602,-.86647308,,96
1,1,4.044879,.37808228,.29595944,-.93945926,-1.7432327,37
0,1,1.0384798,-.21378429,-.1429237,-.72147375,-.91540116,60
0,1,2.4675918,1.8486543,-.20775871,.31979626,-.509637,38
1,1,2.9016302,.027309351,.80464083,-.84214431,,78
1,1,-.044754013,-.1813138,.79469025,-.6475144,-.24225633,6
1,1,.88755667,.051149033,.2989338,.22832008,-.52005804,10
1,1,.69995713,1.8486543,.03661938,.80247837,.54842991,77
1,1,.8722586,.37808228,-.21276404,-.87231195,,81
0,1,.77540898,.4986659,1.0739795,.4764733,1.7844534,97
0,1,-.69787163,.4986659,.046593994,.13100523,-.65091401,80
1,1,,,,,,56
1,1,1.9378405,1.2650781,-.15291634,-.45288453,2.0037899,77
1,1,-.88409865,-.34865487,.016664159,-1.2314041,.020799553,26
1,1,.39595333,.4986659,.15630275,1.6491183,.36623883,103
0,1,-.93827945,-.95059454,1.4879261,.025905024,-.072734438,8
1,1,-.031935554,.4986659,-.23070033,-.27771759,-.20265521,77
0,1,.46464798,.051149033,-.10801256,-.20959717,.71956605,54
0,1,.4580287,.4986659,.87448722,1.8729428,-1.5455612,84
1,1,,,,,,116
0,1,.43289617,1.8486543,.50542635,3.1477685,2.5431607,73
1,1,.22590749,.4986659,1.9148397,.71489483,.16856727,39
0,1,.64660931,.37808228,.1064417,.014227235,-1.5455612,46
1,1,.43140438,1.8486543,.016610064,.38888976,-1.5455612,77
0,1,.77223158,.098861992,.51540095,.49107057,1.1391129,37
1,1,.17130403,1.8486543,.14575732,.19425987,1.0213577,64
1,1,.311048,1.8486543,.44553661,-.25825465,1.2367355,80
1,1,.0032001196,-.1813138,-.21277007,.95818216,,20
0,1,,,,,,25
0,1,-.17067029,-.37463129,-.013385891,.07748197,-1.5455612,111
0,1,2.0643439,1.1785721,.40568024,-1.2314041,-1.7432327,45
1,1,.93874705,.37808228,.016670151,.52026492,-1.5455612,103
